Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
BMW,M135I,2012,11,USED,Automatic,Rear,Premium,3.0,6.0,7.5,67678.0,Grey,Black Leather,NSW,Hatchback,5.0,5.0,29950.0,2722.7272727272725
Holden,Commodore,2015,8,USED,Automatic,Rear,Unleaded,3.6,6.0,9.8,133934.0,White,Black,NSW,Wagon,4.0,5.0,22999.0,2874.875
Volkswagen,Golf,2008,15,USED,Automatic,Front,Premium,2.0,4.0,8.0,174915.0,Silver,,NSW,Hatchback,5.0,5.0,14990.0,999.3333333333334
Holden,Cruze,2014,9,USED,Automatic,Front,Unleaded,1.8,4.0,7.4,117000.0,Silver,,NSW,Sedan,4.0,5.0,7888.0,876.4444444444445
Hyundai,Imax,2018,5,USED,Automatic,Rear,Diesel,2.5,4.0,8.8,190176.0,Grey,Grey,NSW,Wagon,4.0,8.0,27990.0,5598.0
Mitsubishi,Triton,2013,10,USED,Manual,4WD,Diesel,2.5,4.0,9.1,231675.0,White,,NSW,Ute / Tray,4.0,5.0,19800.0,1980.0
BMW,330I,2021,2,USED,Automatic,Rear,Premium,2.0,4.0,6.4,23332.0,Black,,NSW,Sedan,4.0,5.0,67988.0,33994.0
Volkswagen,Golf,2018,5,USED,Automatic,Front,Premium,1.4,4.0,5.6,130647.0,White,Black,NSW,Wagon,4.0,5.0,21880.0,4376.0
Audi,Q3,2019,4,USED,Automatic,Front,Premium,1.4,4.0,7.2,47307.0,White,Black,NSW,SUV,4.0,5.0,41888.0,10472.0
Nissan,Elgrand,2005,18,USED,Automatic,Other,Unleaded,,,,69619.0,Black,Black,NSW,Commercial,,,17900.0,994.4444444444445
Toyota,Estima,2009,14,USED,Automatic,Other,Unleaded,,,,128647.0,Silver,Beige,NSW,Commercial,,,18900.0,1350.0
Subaru,Outback,2016,7,USED,Automatic,AWD,Premium,2.5,4.0,7.3,74983.0,Silver,Black,NSW,SUV,4.0,5.0,29990.0,4284.285714285715
Mazda,6,2007,16,USED,Manual,Front,Premium,2.3,4.0,8.8,102496.0,Black,Grey,NSW,Hatchback,5.0,5.0,7920.0,495.0
Hyundai,Accent,2015,8,USED,Automatic,Front,Unleaded,1.6,4.0,6.4,84924.0,Silver,Black,NSW,Hatchback,5.0,5.0,14999.0,1874.875
Land,Rover,2013,10,USED,Automatic,4WD,Diesel,3.0,6.0,8.8,159558.0,White,Black,NSW,SUV,4.0,5.0,38950.0,3895.0
Mercedes-Benz,B-Class,2014,9,USED,Automatic,Front,Premium,,,,98296.0,Black,,NSW,Hatchback,,,16999.0,1888.7777777777778
Ford,Focus,2013,10,USED,Automatic,Front,Unleaded,1.6,4.0,6.6,67590.0,Silver,Black,NSW,Hatchback,5.0,5.0,12990.0,1299.0
Kia,Sportage,2017,6,USED,Automatic,AWD,Unleaded,2.4,4.0,8.5,65502.0,White,Black,NSW,SUV,4.0,5.0,29990.0,4998.333333333333
Porsche,Cayenne,2010,13,USED,Automatic,AWD,Premium,4.8,8.0,10.5,193271.0,White,Black,NSW,SUV,4.0,5.0,29990.0,2306.923076923077
Porsche,Cayman,2016,7,USED,Manual,Rear,Premium,3.8,6.0,10.3,23481.0,White,Black,NSW,Coupe,2.0,2.0,214880.0,30697.14285714286
Ford,Territory,2007,16,USED,Automatic,AWD,Unleaded,4.0,6.0,12.2,173839.0,White,,NSW,SUV,4.0,5.0,8950.0,559.375
Suzuki,Swift,2017,6,USED,Automatic,Front,Premium,,,,55794.0,Yellow,Black,NSW,Hatchback,,,26280.0,4380.0
Nissan,Navara,2016,7,USED,Automatic,4WD,Diesel,2.3,4.0,7.0,258936.0,White,Black,NSW,Ute / Tray,4.0,5.0,21290.0,3041.4285714285716
Toyota,Estima,2009,14,USED,Automatic,Other,Unleaded,,,,106208.0,Blue,Beige,NSW,Commercial,,,22900.0,1635.7142857142858
Daihatsu,Hijet,2019,4,USED,,Other,,,,,19730.0,Green,Grey,NSW,Other,,,33888.0,8472.0
Toyota,RAV4,2013,10,USED,Automatic,AWD,Diesel,2.2,4.0,6.5,292134.0,Grey,Black Leather,NSW,SUV,4.0,5.0,14995.0,1499.5
Toyota,Hilux,2008,15,USED,Automatic,4WD,Diesel,3.0,4.0,9.5,251000.0,White,Grey,NSW,Ute / Tray,4.0,5.0,21290.0,1419.3333333333333
